Recipe ID;Category;Directions
3328;Home  >  Recipes  >  Meat and Poultry  >  Chicken  >  Chicken Breasts;Preheat oven to 400 degrees F (200 degrees C).<br>Place chicken in a 9x13 inch baking dish. Slather mustard evenly over chicken, then pour teriyaki sauce evenly over all. Sprinkle with bacon bits, then cover with cheese.<br>Bake at 400 degrees F (200 degrees C) for 30 minutes.<br>
1626;Home  >  Recipes  >  Appetizers and Snacks  >  Meat and Poultry  >  Meatball Appetizers;Preheat oven to 350 degrees F (175 degrees C).<br>In a large bowl, whisk together the egg and the milk. Add the beef, cream of wheat and onion and mix well. Shape into 1 inch balls. Place balls on a lightly greased baking sheet.<br>Bake at 350 degrees F (175 degrees C) for about 20 minutes.<br>Drain meatballs on paper towels, if needed. Then place meatballs in a lightly greased 2 quart casserole dish. In a separate medium bowl, combine the soups with the evaporated milk, stirring until smooth. Pour over the meatballs.<br>Bake uncovered at 350 degrees F (175 degrees C) for another 40 minutes. Sprinkle with parsley before serving.<br>
281;Home  >  Recipes  >  Main Dish  >  Seafood  >  Salmon  >  Salmon Fillets;Preheat oven to 350 degrees F (175 degrees C). Lightly grease a medium baking dish.<br>Place salmon in the baking dish. Mix the butter and lemon juice in a small bowl, and drizzle over the salmon. Season with dill, garlic powder, sea salt, and pepper.<br>Bake 25 minutes in the preheated oven, or until salmon is easily flaked with a fork.<br>
203;Home  >  Recipes  >  Main Dish  >  Pasta  >  Lasagna  >  Meat Lasagna;In a Dutch oven, cook sausage, ground beef, onion, and garlic over medium heat until well browned. Stir in crushed tomatoes, tomato paste, tomato sauce, and water. Season with sugar, basil, fennel seeds, Italian seasoning, 1 tablespoon salt, pepper, and 2 tablespoons parsley. Simmer, covered, for about 1 1/2 hours, stirring occasionally.<br>Bring a large pot of lightly salted water to a boil. Cook lasagna noodles in boiling water for 8 to 10 minutes. Drain noodles, and rinse with cold water. In a mixing bowl, combine ricotta cheese with egg, remaining parsley, and 1/2 teaspoon salt.<br>Preheat oven to 375 degrees F (190 degrees C).<br>To assemble, spread 1 1/2 cups of meat sauce in the bottom of a 9x13 inch baking dish. Arrange 6 noodles lengthwise over meat sauce. Spread with one half of the ricotta cheese mixture. Top with a third of mozzarella cheese slices. Spoon 1 1/2 cups meat sauce over mozzarella, and sprinkle with 1/4 cup Parmesan cheese. Repeat layers, and top with remaining mozzarella and Parmesan cheese. Cover with foil: to prevent sticking, either spray foil with cooking spray, or make sure the foil does not touch the cheese.<br>Bake in preheated oven for 25 minutes. Remove foil, and bake an additional 25 minutes. Cool for 15 minutes before serving.<br>
1304;Home  >  Recipes  >  Main Dish  >  Seafood  >  Lobster;Preheat grill for high heat.<br>Squeeze lemon juice into a small bowl, and slowly whisk in olive oil. Whisk in salt, paprika, white pepper, and garlic powder. Split lobster tails lengthwise with a large knife, and brush flesh side of tail with marinade.<br>Lightly oil grill grate. Place tails, flesh side down, on preheated grill. Cook for 10 to 12 minutes, turning once, and basting frequently with marinade. Discard any remaining marinade. Lobster is done when opaque and firm to the touch.<br>
3189;Home  >  Recipes  >  Main Dish  >  Curries  >  Chicken;Sprinkle the chicken breasts with 2 teaspoons salt.<br>Heat the oil in a large skillet over high heat, partially cook the chicken in the hot oil in batches until completely browned. Transfer the browned chicken breasts to a plate and set aside.<br>Reduce the heat under the skillet to medium-high, add the onion, garlic, and ginger to the oil remaining in the skillet and cook and stir until the onion turns translucent, about 8 minutes. Stir the curry powder, cumin, turmeric, coriander, cayenne, and 1 tablespoon of water into the onion mixture, allow to heat together for about 1 minute while stirring. Mix the tomatoes, yogurt, 1 tablespoon chopped cilantro, and 1 teaspoon salt into the mixture. Return the chicken breast to the skillet along with any juices on the plate. Pour 1/2 cup water into the mixture, bring to a boil, turning the chicken to coat with the sauce. Sprinkle the garam masala and 1 tablespoon cilantro over the chicken.<br>Cover the skillet and simmer until the chicken breasts are no longer pink in the center and the juices run clear, about 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Sprinkle with lemon juice to serve.<br>
1309;Home  >  Recipes  >  Meat and Poultry  >  Chicken  >  Chicken Breasts  >  Asian-Style;Place the chicken breast strips, bell pepper and onion into a slow cooker. Pour in the chicken broth and 1/4 cup of soy sauce, then season with cumin, garlic, red pepper flakes, salt and pepper. Stir to blend, then cover and cook on Low for 4 1/2 to 5 hours.<br>Remove 1 cup of the liquid from the slow cooker, and mix this with the cornstarch, peanut butter, 1 tablespoon of soy sauce and lime juice. This should blend into a fairly thick sauce. Stir the sauce back into the slow cooker, and place the lid on the pot.<br>Cook on High for 30 minutes. Garnish with green onions, cilantro and peanuts before serving.<br>
942;Home  >  Recipes  >  Main Dish  >  Stuffed Main Dishes;Combine apple, cheese, and bread crumbs. Set aside.<br>Flatten chicken breasts between sheets of waxed paper to 1/4 inch thickness. Divide apple mixture between chicken breasts, and roll up each breast. Secure with toothpicks.<br>Melt butter or margarine in a 7 inch skillet over medium heat. Brown stuffed chicken breasts. Add wine and 1/4 cup water. Cover. Simmer for 15 to 20 minutes, or until chicken is no longer pink.<br>Transfer chicken to a serving platter. Combine 1 tablespoon water and cornstarch, stir into juices in pan. Cook and stir until thickened. Pour gravy over chicken, and garnish with parsley. Serve.<br>
666;Home  >  Recipes  >  Main Dish  >  Steaks and Chops;In a large bowl, whisk together the olive oil, chicken broth, garlic, paprika, garlic powder, poultry seasoning, oregano, and basil. Pour into the slow cooker. Cut small slits in each pork chop with the tip of a knife, and season lightly with salt and pepper. Place pork chops into the slow cooker, cover, and cook on High for 4 hours. Baste periodically with the sauce.<br>
257;Home  >  Recipes  >  Main Dish  >  Rice  >  Beans and Rice;Rinse beans, and then soak in a large pot of water overnight.<br>In a skillet, heat oil over medium heat. Cook onion, bell pepper, garlic, and celery in olive oil for 3 to 4 minutes.<br>Rinse beans, and transfer to a large pot with 6 cups water. Stir cooked vegetables into beans. Season with bay leaves, cayenne pepper, thyme, sage, parsley, and Cajun seasoning. Bring to a boil, and then reduce heat to medium-low. Simmer for 2 1/2 hours.<br>Stir sausage into beans, and continue to simmer for 30 minutes.<br>Meanwhile, prepare the rice. In a saucepan, bring water and rice to a boil. Reduce heat, cover, and simmer for 20 minutes. Serve beans over steamed white rice.<br>
1245;Home  >  Recipes  >  Main Dish  >  Pizza  >  Vegetable;Preheat the oven to 350 degrees F (175 degrees C). Coat 2 pie plates with non-stick cooking spray.<br>Place beef, onion and garlic in a skillet over medium heat. Cook until beef is evenly browned. Drain off grease. Season the meat with chili powder, cumin, paprika, salt and pepper.<br>Lay one tortilla in each pie plate, and cover with a layer of refried beans. Spread half of the seasoned ground beef over each one, and then cover with a second tortilla. Bake for 10 minutes in the preheated oven.<br>Remove the plates from the oven, and let cool slightly. Spread half of the salsa over each top tortilla. Cover each pizza with half of the Cheddar and Monterey Jack cheeses. Place half of the tomatoes, half of the green onions, and half of the jalapeno slices onto each one.<br>Return the pizzas to the oven, and bake for 5 to 10 more minutes, until the cheese is melted. Remove from the oven, and let cool slightly before slicing each one into 4 pieces.<br>
283;Home  >  Recipes  >  Main Dish  >  Pasta;Bring a large pot of lightly salted water to a boil over high heat. Add the angel hair pasta, and cook until al dente, 2 to 3 minutes, drain.<br>Melt the butter in a large skillet over medium heat. Stir in the garlic, onion, parsley, salt, pepper, Worcestershire sauce, lemon juice, and white wine. Once the mixture begins to bubble, increase the heat to medium-high, and stir in the shrimp. Cook and stir until the shrimp turn pink, and are no longer transparent in the center, about 5 minutes.<br>Serve the scampi over a bed of angel hair pasta, and sprinkle with Asiago cheese and avocado to serve.<br>
1290;Home  >  Recipes  >  Main Dish  >  Sandwiches  >  Pork;Pour the vegetable oil into the bottom of a slow cooker. Place the pork roast into the slow cooker, pour in the barbecue sauce, apple cider vinegar, and chicken broth. Stir in the brown sugar, yellow mustard, Worcestershire sauce, chili powder, onion, garlic, and thyme. Cover and cook on High until the roast shreds easily with a fork, 5 to 6 hours.<br>Remove the roast from the slow cooker, and shred the meat using two forks. Return the shredded pork to the slow cooker, and stir the meat into the juices.<br>Spread the inside of both halves of hamburger buns with butter. Toast the buns, butter side down, in a skillet over medium heat until golden brown. Spoon pork into the toasted buns.<br>
1291;Home  >  Recipes  >  Main Dish  >  Sandwiches  >  Ham;Preheat oven to 350 degrees F (175 degrees C).<br>In a medium bowl, mix together butter, poppy seeds, onion, Worcestershire sauce and prepared Dijon-style mustard.<br>Slice rolls in half horizontally and set aside tops. Spread bottoms with the butter mixture. Top with ham and Swiss cheese. Replace tops.<br>Arrange rolls in a single layer in a medium baking dish. Bake in the preheated oven 10 to 12 minutes, until rolls are lightly browned and cheese is melted.<br>
3174;Home  >  Recipes  >  Main Dish  >  Stir-Fry  >  Beef;Whisk together soy sauce, hoisin sauce, sesame oil, sugar, garlic, and red pepper flakes in a bowl. Toss beef with marinade, cover, and refrigerate 1 hour to overnight.<br>Heat peanut oil in a wok or large, nonstick skillet over high heat. Add the green onions, and cook for 5 to 10 seconds before stirring in the beef. Cook and stir until the beef is no longer pink and is beginning to brown, about 5 minutes.<br>
1393;Home  >  Recipes  >  Meat and Poultry  >  Chicken  >  Chicken Breasts  >  Italian-Style;Preheat oven to 425 degrees F (220 degrees C).<br>In a bowl, mix the mayonnaise, Parmesan cheese, and garlic powder. Place bread crumbs in a separate bowl. Dip chicken into the mayonnaise mixture, then into the bread crumbs to coat. Arrange coated chicken on a baking sheet.<br>Bake 20 minutes in the preheated oven, or until chicken juices run clear and coating is golden brown.<br>
1079;Home  >  Recipes  >  Main Dish  >  Sandwiches;Preheat oven to broil.<br>In a shallow bowl, whisk together the olive oil and vinegar. Marinate the tomatoes in the mixture, stirring occasionally.<br>Meanwhile, in a small bowl, combine mayonnaise, parsley, oregano, black pepper and 4 teaspoons Parmesan cheese. Spread mixture on each slice of toasted bread. Place marinated tomatoes on 2 slices and sprinkle with remaining Parmesan cheese.<br>Place on a baking sheet and broil for 5 minutes, or until cheese turns golden brown. Serve immediately, open faced or closed.<br>
2925;Home  >  Recipes  >  Meat and Poultry  >  Chicken  >  Chicken Breasts;Rinse the chicken breasts and pat dry. Season with the lemon juice, salt, pepper, celery salt and paprika to taste. Place in a slow cooker.<br>In a medium size bowl mix the mushroom and celery soups with the sherry/wine. Pour mixture over the chicken breasts and sprinkle with grated Parmesan cheese.<br>Cook on LOW setting for 8 to 10 hours, OR on HIGH setting for 4 to 5 hours.<br>
4973;Home  >  Recipes  >  Main Dish  >  Casseroles;Preheat oven to 350 degrees F (175 degrees C).<br>In a large bowl, mix sour cream, salsa, cream of chicken soup, onion and chili beans.<br>Layer the bottom of a 9x13 inch baking dish with 1/3 tortilla strips. Top with 1/3 chicken, 1/3 sour cream mixture and 1/3 Cheddar cheese. Repeat layering with remaining ingredients.<br>Bake in the preheated oven 20 to 30 minutes, or until golden and bubbly. Let stand about 10 minutes, or as long as you can stand it!!! You're done!<br>
674;Home  >  Recipes  >  Main Dish  >  Stuffed Main Dishes;Preheat oven to 350 degrees F (175 degrees C).<br>Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente, drain.<br>In a large bowl, mix eggs, ricotta, half the mozzarella, half the Parmesan, parsley, salt and pepper until well combined. Stuff cooked shells with ricotta mixture and place in a 9x13 inch baking dish.<br>In a medium bowl, stir together pasta sauce, mushrooms and reserved mozzarella and Parmesan. Pour over stuffed shells.<br>Bake in preheated oven 45 to 60 minutes, until edges are bubbly and shells are slightly set.<br>
3797;Home  >  Recipes  >  Main Dish;Place rump roast in a slow cooker. Pour in condensed cream of mushroom soup and condensed beef broth. Cook on LOW for about 8 hours.<br>
854;Home  >  Recipes  >  Main Dish  >  Casseroles;Preheat the oven to 350 degrees F (175 degrees C).<br>Place ground beef in a large skillet over medium-high heat. Cook, stirring to crumble, until evenly browned. Drain grease. Remove from the heat, and stir the salsa, corn, mayonnaise and chili powder into the beef. In a 2 quart casserole dish, layer the ground beef mixture, tortilla chips and cheese twice, ending with cheese on top.<br>Bake for 20 minutes uncovered in the preheated oven, until cheese is melted and dish is thoroughly heated.<br>
56;Home  >  Recipes  >  Main Dish  >  Ribs;Place spareribs in a large stock pot with barbeque sauce, onion, salt, and pepper. Pour in enough water to cover. Bring to a low boil, and cook approximately 40 minutes.<br>Preheat grill for high heat.<br>Lightly oil grate. Remove spareribs from the stock pot, and place on the prepared grill. Use the barbeque sauce in the saucepan to baste ribs while cooking. Grill ribs, basting and turning frequently, for 20 minutes, or until nicely browned.<br>
3851;Home  >  Recipes  >  Main Dish  >  Chicken  >  Chicken Piccata;In a shallow dish or bowl, mix together flour, salt and paprika. In a separate dish or bowl mix together egg and milk. Dip chicken pieces in egg mixture, then in seasoned flour.<br>In a large skillet, heat butter or margarine over medium high heat. Saute chicken pieces until golden brown. Add mushrooms and onion and saute for 3 to 5 minutes.<br>In a medium bowl combine the broth, wine, lemon juice and cornstarch. Mix together and pour mixture over chicken and mushrooms. Reduce heat to medium low and let chicken mixture simmer for 25 minutes or until chicken is cooked through and juices run clear. Sprinkle with parsley and serve<br>
2776;Home  >  Recipes  >  Main Dish;Melt the butter in a large skillet over medium-high heat. Season chicken pieces with 1 teaspoon salt and 1/2 teaspoon pepper. Dredge in 3/4 cup flour, place in the skillet, and brown on all sides. Set chicken aside, and drain skillet, reserving about 1 tablespoon butter.<br>Reduce skillet heat to medium-low, and stir in onions, celery, garlic, and carrots. Cook 5 minutes, until tender. Stir in the flour, and cook 5 minutes more. Pour in the chicken broth, season with cayenne pepper, and remaining salt and pepper. Bring to a boil, and reduce heat to low.<br>Return chicken to the skillet, cover, and continue cooking 30 minutes, until chicken juices run clear and gravy has thickened.<br>
1472;Home  >  Recipes  >  Main Dish  >  Sandwiches  >  Cheese;In a small bowl, combine mayonnaise and minced garlic. Cover, and refrigerate. Preheat oven to 500 degrees F (260 degrees C).<br>Heat oil in a large skillet over medium heat. Saute beef until lightly browned. Stir in green pepper and onion, and season with salt and pepper. Saute until vegetables are tender, and remove from heat.<br>Spread each bun generously with garlic mayonnaise. Divide beef mixture into the buns. Top with shredded cheese, and sprinkle with oregano. Place sandwiches on a baking pan.<br>Heat sandwiches in preheated oven, until cheese is melted or slightly browned.<br>
1289;Home  >  Recipes  >  Main Dish  >  Sandwiches  >  Beef;Combine water with salt, ground black pepper, oregano, basil, onion salt, parsley, garlic powder, bay leaf, and salad dressing mix in a saucepan. Stir well, and bring to a boil.<br>Place roast in slow cooker, and pour salad dressing mixture over the meat.<br>Cover, and cook on Low for 10 to 12 hours, or on High for 4 to 5 hours. When done, remove bay leaf, and shred meat with a fork.<br>
927;Home  >  Recipes  >  Main Dish  >  Chicken  >  Sweet and Sour Chicken;Brown chicken in oil in a large skillet over medium high heat. Add green bell pepper, red bell pepper, carrot and garlic and stir fry for 1 to 2 minutes.<br>In a small bowl, combine cornstarch and soy sauce and mix together, pour mixture into the skillet, along with the pineapple and liquid, vinegar, sugar and ginger. Stir together and bring to a full boil.<br>
890;Home  >  Recipes  >  Meat and Poultry  >  Beef  >  Steaks;Preheat the oven to 350 degrees F (175 degrees C). In a shallow dish, stir together the flour, salt and pepper. In a separate bowl, whisk together the eggs and water with a fork. In a third bowl, or shallow dish, mix together the cracker crumbs, 1/3 cup of Parmesan cheese and basil.<br>Heat the oil in a large skillet over medium heat. Dredge the cube steaks in the seasoned flour, dip into the egg mixture, and coat with the cracker crumb mixture. Place them in the skillet, and fry just until browned on each side. Arrange steaks in a single layer in a greased casserole dish.<br>Bake for 25 minutes in the preheated oven. Meanwhile, in a medium bowl, stir together the tomato sauce, sugar, 1/4 teaspoon of oregano, and garlic powder. Spoon over steaks when the 25 minutes are up. Top each steak with mozzarella cheese and remaining Parmesan cheese, sprinkle remaining oregano over the top. Bake for 5 more minutes, or until the cheese is melted, and the sauce is hot.<br>
1108;Home  >  Recipes  >  Main Dish  >  Steaks and Chops;Preheat oven to 350 degrees F (175 degrees C).<br>Place the chops in a 9x13 inch baking pan. Place 1 tablespoon of brown sugar on top of every chop. Place 1 tablespoon of margarine on top of the brown sugar. Sprinkle chops with soy sauce.<br>Cover pan with foil and bake in preheated oven for 45 minutes. Remove foil and bake for an additional 15 minutes, until browned.<br>
733;Home  >  Recipes  >  Main Dish  >  Steaks and Chops;In a small bowl, stir together rosemary, basil, garlic, and pepper.<br>Heat olive oil in a large skillet over medium heat. Dip pork chops in lemon juice, and sprinkle both sides with herb mixture. Place pork chops in skillet, and sear both sides, about 7 minutes per side. Reduce heat to low. Sprinkle feta on top of chops, cover skillet, and cook until cheese begins to melt, about 5 minutes.<br>
891;Home  >  Recipes  >  Main Dish  >  Casseroles  >  Seafood  >  Tuna;Preheat oven to 350 degrees F (175 degrees C).<br>In a 9x13-inch baking dish, combine the macaroni, tuna, and soup. Mix well, and then top with cheese.<br>Bake at 350 degrees F (175 degrees C) for about 25 minutes, or until bubbly. Sprinkle with fried onions, and bake for another 5 minutes. Serve hot.<br>
3386;Home  >  Recipes  >  Main Dish;In a medium bowl, mix together the ground beef, egg, cracker crumbs, onion, salt, pepper and poultry seasoning using your hands. Shape into 6 patties about 1 inch thick.<br>Fry the patties in a large skillet over medium-high heat for 3 to 4 minutes per side, or until browned. Drain off grease, and remove patties to a platter, keep warm.<br>Melt the butter in the same skillet, and add the mushrooms. Cook and stir for about 2 minutes. Sprinkle the flour over, and mix in until blended. Stir in the milk and beef bouillon. Cook and stir over medium heat until smooth and starting to thicken. Return the patties to the gravy and cook over low heat, uncovered, for 10 minutes, stirring occasionally.<br>
139;Home  >  Recipes  >  Main Dish  >  Chicken  >  Chicken Piccata;In a small bowl, beat the egg together with 1 tablespoon of the lemon juice. Set aside.<br>In a shallow bowl or dish mix together the flour, garlic powder and paprika. Dip the chicken in the egg/lemon mixture, then in the seasoned flour.<br>In a large skillet, melt butter/margarine and brown the coated chicken pieces.<br>Dissolve the bouillon in the boiling water, then add the remaining 2 tablespoons of lemon juice. Pour liquid into skillet. Cover and let simmer for 20 minutes, turning chicken pieces after 10 minutes, until chicken is tender. Garnish as desired and serve.<br>
45;Home  >  Recipes  >  Main Dish  >  Calzones;Preheat the oven to 400 degrees F (200 degrees C).<br>Fry bacon in a large skillet over medium-high heat until crisp. Remove from the pan to drain on paper towels, crumble. Add the onion and shredded chicken to the hot bacon grease in the pan. Fry over medium heat until onion is tender. Stir in 1/3 cup of barbeque sauce, and remove from the heat. Mix in the cooked bacon.<br>Roll the pizza crust dough out onto a greased cookie sheet. Press out to an even thickness, and then cut in half. Divide the chicken mixture between the two pieces of dough, spreading on only half of each piece to within 1/2 inch of the edge. Drizzle the remaining sauce over the filling. Sprinkle the cheese and cilantro over the top. Fold the uncovered portion of dough over the filling, and press the edges together with a fork to seal.<br>Bake for 25 minutes in the preheated oven, or until browned to your liking. Cool for a few minutes, then cut each calzone in half. Each serving is half of a calzone. These can be served with additional barbeque sauce if you like.<br>
3702;Home  >  Recipes  >  Main Dish  >  Casseroles  >  Noodles;Bring a large pot of lightly salted water to a boil. Add egg noodles and cook for 8 to 10 minutes or until al dente, drain.<br>Preheat oven to 400 degrees F (200 degrees C).<br>Toss drained noodles with 2 teaspoons of the oil. Heat remaining oil in a skillet and saute onion over medium heat until soft. Combine noodles, onion, mushrooms, ham, Swiss cheese, salt and pepper. Transfer to a greased 3 quart casserole dish. In a bowl mix together egg and milk, pour over noodle mixture. Sprinkle with parmesan cheese.<br>Bake in a preheated oven for 30 minutes.<br>
1679;Home  >  Recipes  >  Main Dish  >  Meatloaf  >  Beef Meatloaf;Preheat oven to 350 degrees F (175 degrees C). Lightly grease an 8 1/2 x 4 1/2 inch loaf pan.<br>In a mixing bowl, combine the ground beef, salt, egg, black pepper and bread crumbs. Pour in the milk, 3 tablespoons of the steak sauce, onion and green bell pepper.<br>Place the mixture into the prepared loaf pan and shape into a loaf. Brush the top with the remaining steak sauce.<br>Bake in the preheated oven for 1 hour or until done. Allow to stand 5 minutes before slicing.<br>
536;Home  >  Recipes  >  Main Dish  >  Stuffed Main Dishes  >  Stuffed Cabbage;Bring a large pot of water to a boil. Boil cabbage leaves 2 minutes, drain.<br>In large bowl, combine 1 cup cooked rice, egg, milk, onion, ground beef, salt, and pepper. Place about 1/4 cup of meat mixture in center of each cabbage leaf, and roll up, tucking in ends. Place rolls in slow cooker.<br>In a small bowl, mix together tomato sauce, brown sugar, lemon juice, and Worcestershire sauce. Pour over cabbage rolls.<br>Cover, and cook on Low 8 to 9 hours.<br>
3303;Home  >  Recipes  >  Main Dish  >  Seafood  >  Salmon  >  Salmon Fillets;Preheat the oven's broiler and set the oven rack at about 6 inches from the heat source, prepare the rack of a broiler pan with cooking spray.<br>Season the salmon with salt and pepper and arrange onto the prepared broiler pan. Whisk together the brown sugar and Dijon mustard in a small bowl, spoon mixture evenly onto top of salmon fillets.<br>Cook under the preheated broiler until the fish flakes easily with a fork, 10 to 15 minutes.<br>
469;Home  >  Recipes  >  Main Dish  >  Seafood  >  Cod;In a large frying pan, heat oil over medium heat. Saute onions and garlic in olive oil until softened.<br>Stir in tomatoes, olives, parsley, and wine. Simmer for 5 minutes.<br>Place fillets in sauce. Simmer for about 5 more minutes, or until fish turns white.<br>
1322;Home  >  Recipes  >  Main Dish  >  Pasta;Heat 1/4 cup of olive oil in a large skillet over medium heat. Add the garlic, and saute for a few minutes. Sprinkle in the red pepper flakes, and saute for another minute. Pour in the diced tomatoes and tomato sauce, and add the basil. Simmer for about 20 minutes, stirring occasionally.<br>Meanwhile, bring a large pot of lightly salted water to a boil. Add penne pasta, and cook for 8 minutes, or until tender. Drain.<br>In a small bowl, whisk eggs with a fork. Place bread crumbs in a separate bowl. Stir the garlic powder, salt and pepper into the bread crumbs. Dip chicken cutlets into the egg, then press into the bread crumbs until completely coated.<br>Heat remaining olive oil in a large skillet over medium heat. Fry chicken for about 5 minutes per side, or until the coating is a nice dark brown color.<br>Remove chicken, and cut into slices. Toss the chicken slices into the sauce, and simmer for about 10 minutes. Stir in the cooked penne, simmer for a few more minutes to soak up the flavor, then serve.<br>
209;Home  >  Recipes  >  Main Dish  >  Pizza;Preheat oven to 375 degrees F (190 degrees C).<br>On a large baking sheet, pinch the 8 crescent roll dough triangles into 4 rectangles. Layer each rectangle with 6 slices of pepperoni and even amounts of mozzarella cheese. Roll tightly lengthwise and slice each into 4 or more pieces.<br>Bake in the preheated oven until golden brown, about 12 minutes. Serve with pizza sauce for dipping.<br>
41;Home  >  Recipes  >  Main Dish  >  Sandwiches  >  Sloppy Joes;In a medium skillet over medium heat, brown the ground beef, onion, and green pepper, drain off liquids.<br>Stir in the garlic powder, mustard, ketchup, and brown sugar, mix thoroughly. Reduce heat, and simmer for 30 minutes. Season with salt and pepper.<br>
